barrels08,city08,co2TailpipeGpm,comb08,cylinders,displ,drive,fuelCost08,fuelType,fuelType1,highway08,make,model,mpgData,trany,UCity,UHighway,VClass,year
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Alfa Romeo,Spider Veloce 2000,Y,Manual 5-spd,Average,Green,Two Seaters,1985
medium-high,poor,hazardous,Poor,Twelve,Four,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Ferrari,Testarossa,N,Manual 5-spd,Guzzler,Economic,Two Seaters,1985
low-medium,average,healthy,Average,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Green,Dodge,Charger,Y,Manual 5-spd,Economic,Green,Subcompact Cars,1985
medium-high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,B150/B250 Wagon 2WD,N,Automatic 3-spd,Guzzler,Average,Vans,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Dodge,B150/B250 Wagon 2WD,N,Automatic 3-spd,Average,Economic,Vans,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,B150/B250 Wagon 2WD,N,Manual 4-spd,Average,Economic,Vans,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,B150/B250 Wagon 2WD,N,Manual 4-spd,Average,Economic,Vans,1985
high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,B150/B250 Wagon 2WD,N,Automatic 3-spd,Guzzler,Average,Vans,1985
high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,B350 Wagon 2WD,N,Automatic 3-spd,Guzzler,Average,Vans,1985
high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,B350 Wagon 2WD,N,Automatic 3-spd,Guzzler,Average,Vans,1985
high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Guzzler,Dodge,B350 Wagon 2WD,N,Automatic 3-spd,Guzzler,Average,Vans,1985
medium-high,poor,unhealthy,Poor,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Ford,E150 Club Wagon,Y,Automatic 3-spd,Average,Economic,Vans,1985
medium-high,average,below average,Poor,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,E150 Club Wagon,N,Automatic 4-spd,Average,Economic,Vans,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Charger,N,Manual 5-spd,Average,Green,Subcompact Cars,1985
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,E150 Club Wagon,N,Manual 4-spd,Average,Economic,Vans,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Ford,E150 Club Wagon,N,Automatic 4-spd,Average,Economic,Vans,1985
medium-high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Ford,E150 Club Wagon,N,Automatic 3-spd,Guzzler,Average,Vans,1985
low-medium,average,below average,Poor,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,G15/25 Rally 2WD,N,Automatic 3-spd,Average,Economic,Vans,1985
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,G15/25 Rally 2WD,N,Automatic 4-spd,Average,Economic,Vans,1985
low-medium,average,below average,Poor,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,G15/25 Rally 2WD,N,Manual 3-spd,Average,Economic,Vans,1985
