barrels08,city08,co2TailpipeGpm,comb08,cylinders,displ,drive,fuelCost08,fuelType,fuelType1,highway08,make,model,mpgData,trany,UCity,UHighway,VClass,year
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,GMC,G15/25 Rally 2WD,N,Automatic 3-spd,Average,Economic,Vans,1985
medium-high,poor,below average,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,G15/25 Rally 2WD,N,Automatic 4-spd,Average,Economic,Vans,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,G15/25 Rally 2WD,N,Automatic 4-spd,Average,Economic,Vans,1985
low-medium,average,below average,Normal,Eight,Six,Rear-Wheel Drive,Standard,Diesel,Diesel,Economic,GMC,G15/25 Rally 2WD,N,Automatic 4-spd,Average,Economic,Vans,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Charger,N,Manual 5-spd,Average,Green,Subcompact Cars,1985
medium,average,below average,Normal,Eight,Six,Rear-Wheel Drive,Standard,Diesel,Diesel,Economic,GMC,G15/25 Rally 2WD,N,Manual 4-spd,Average,Economic,Vans,1985
medium-high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,GMC,G35 Rally 2WD,N,Automatic 4-spd,Guzzler,Economic,Vans,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Safari 2WD (passenger),N,Automatic 4-spd,Average,Green,Vans,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Safari 2WD (passenger),N,Manual 4-spd,Economic,Green,Vans,1985
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Safari 2WD (passenger),N,Manual 5-spd,Economic,Green,Vans,1985
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Safari 2WD (passenger),N,Automatic 4-spd,Average,Economic,Vans,1985
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Safari 2WD (passenger),N,Manual 4-spd,Average,Economic,Vans,1985
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Safari 2WD (passenger),N,Manual 5-spd,Average,Economic,Vans,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Van 2WD,Y,Automatic 4-spd,Average,Economic,Vans,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Van 2WD,N,Manual 5-spd,Economic,Economic,Vans,1985
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Colt,N,Automatic 3-spd,Green,Green,Subcompact Cars,1985
low-medium,average,below average,Normal,Four,One,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Volkswagen,Vanagon 2WD,N,Automatic 3-spd,Average,Economic,Vans,1985
low-medium,average,below average,Normal,Four,One,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Volkswagen,Vanagon 2WD,Y,Manual 4-spd,Average,Economic,Vans,1985
low-medium,average,below average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,AM General,Post Office DJ5 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,average,unhealthy,Poor,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,AM General,Post Office DJ8 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,poor,below average,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Chevrolet,Suburban C10 2WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Chevrolet,Suburban C10 2WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Eight,Six,Rear-Wheel Drive,Standard,Diesel,Diesel,Economic,Chevrolet,Suburban C10 2WD,Y,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,S10 Blazer 2WD,N,Automatic 4-spd,Average,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,S10 Blazer 2WD,N,Manual 4-spd,Economic,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,S10 Blazer 2WD,N,Manual 5-spd,Economic,Green,Special Purpose Vehicle 2WD,1985
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Dodge,Colt,N,Manual 4-spd,Green,Green,Subcompact Cars,1985
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,S10 Blazer 2WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,S10 Blazer 2WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,S10 Blazer 2WD,N,Manual 5-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,AD100/AD150 Ramcharger 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,AD100/AD150 Ramcharger 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Dodge,AD100/AD150 Ramcharger 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,poor,hazardous,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,AD100/AD150 Ramcharger 2WD,N,Automatic 3-spd,Guzzler,Average,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Caravan/Ram Van 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Caravan/Ram Van 2WD,Y,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Caravan/Ram Van 2WD,N,Manual 4-spd,Economic,Green,Special Purpose Vehicle 2WD,1985
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Dodge,Colt,N,Manual 5-spd,Green,Green,Subcompact Cars,1985
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Caravan/Ram Van 2WD,N,Manual 4-spd,Economic,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Caravan/Ram Van 2WD,N,Manual 5-spd,Average,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Caravan/Ram Van 2WD,N,Manual 5-spd,Average,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Caravan/Ram Van 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Eight,Four,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,"E. P. Dutton, Inc.",Funeral Coach,N,Automatic 4-spd,Economic,Economic,Special Purpose Vehicles,1985
medium-high,poor,below average,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,C15 Suburban 2WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,C15 Suburban 2WD,Y,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Eight,Six,Rear-Wheel Drive,Standard,Diesel,Diesel,Economic,GMC,C15 Suburban 2WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,S15 Jimmy 2WD,N,Automatic 4-spd,Average,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,S15 Jimmy 2WD,N,Manual 4-spd,Economic,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Colt,N,Automatic 3-spd,Economic,Green,Subcompact Cars,1985
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,S15 Jimmy 2WD,Y,Manual 5-spd,Economic,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,S15 Jimmy 2WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,S15 Jimmy 2WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,S15 Jimmy 2WD,N,Manual 5-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Diesel,Diesel,Economic,Grumman Olson,Kubvan,N,Automatic 3-spd,Green,Green,Special Purpose Vehicles,1985
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Diesel,Diesel,Economic,Grumman Olson,Kubvan,N,Manual 5-spd,Green,Green,Special Purpose Vehicles,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Jeep,Cherokee/Wagoneer,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Jeep,Cherokee/Wagoneer,N,Manual 4-spd,Economic,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Jeep,Cherokee/Wagoneer,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Jeep,Cherokee/Wagoneer,N,Manual 5-spd,Average,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Colt,N,Automatic 3-spd,Economic,Green,Subcompact Cars,1985
low-medium,average,below average,Poor,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Jeep,Cherokee/Wagoneer,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Six,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Jeep,Cherokee/Wagoneer,N,Manual 5-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Plymouth,Voyager 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Plymouth,Voyager 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Plymouth,Voyager 2WD,N,Manual 5-spd,Average,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Plymouth,Voyager 2WD,N,Manual 5-spd,Average,Green,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Plymouth,Voyager 2WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 2WD,1985
low-medium,average,below average,Normal,Six,Four,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,American Motors Corporation,Eagle 4DR Wagon,Y,Automatic 3-spd,Average,Economic,Special Purpose Vehicles,1985
low-medium,average,below average,Normal,Six,Four,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,American Motors Corporation,Eagle 4DR Wagon,N,Manual 5-spd,Average,Economic,Special Purpose Vehicles,1985
medium-high,poor,unhealthy,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Chevrolet,K10 Blazer 4WD,Y,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Colt,N,Manual 5-spd,Economic,Green,Subcompact Cars,1985
medium-high,poor,below average,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Chevrolet,K10 Blazer 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium,average,below average,Normal,Eight,Six,4-Wheel or All-Wheel Drive,Standard,Diesel,Diesel,Economic,Chevrolet,K10 Blazer 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Chevrolet,Suburban K10 4WD,Y,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,hazardous,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Chevrolet,Suburban K10 4WD,N,Manual 4-spd,Guzzler,Economic,Special Purpose Vehicle 4WD,1985
medium-high,average,below average,Normal,Eight,Six,4-Wheel or All-Wheel Drive,Standard,Diesel,Diesel,Economic,Chevrolet,Suburban K10 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,T10 (S10) Blazer 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,T10 (S10) Blazer 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,T10 (S10) Blazer 4WD,N,Manual 5-spd,Average,Green,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Six,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,T10 (S10) Blazer 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,below average,Normal,Six,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,T10 (S10) Blazer 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Colt,N,Manual 5-spd,Economic,Green,Subcompact Cars,1985
low-medium,average,below average,Normal,Six,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,T10 (S10) Blazer 4WD,N,Manual 5-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,hazardous,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,AW100/AW150 Ramcharger 4WD,N,Manual 4-spd,Guzzler,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,hazardous,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,AW100/AW150 Ramcharger 4WD,Y,Automatic 3-spd,Guzzler,Average,Special Purpose Vehicle 4WD,1985
high,poor,hazardous,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Dodge,AW100/AW150 Ramcharger 4WD,N,Manual 4-spd,Guzzler,Average,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Colt Vista 4WD,N,Manual 5-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Colt Vista 4WD,N,Manual 5-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Diesel,Diesel,Economic,Ford,Bronco II 4WD,N,Manual 5-spd,Economic,Green,Special Purpose Vehicle 4WD,1985
low-medium,average,below average,Normal,Six,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Bronco II 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Six,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Bronco II 4WD,Y,Manual 5-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,average,unhealthy,Poor,Six,Four,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Ford,Bronco 4WD,N,Automatic 3-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,hazardous,Poor,Eight,Two,Rear-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Ferrari,308,N,Manual 5-spd,Guzzler,Economic,Two Seaters,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Conquest,N,Automatic 4-spd,Average,Economic,Subcompact Cars,1985
low-medium,average,below average,Normal,Six,Four,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Bronco 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,below average,Normal,Six,Four,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Bronco 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Ford,Bronco 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Ford,Bronco 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,hazardous,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,Ford,Bronco 4WD,Y,Automatic 3-spd,Guzzler,Average,Special Purpose Vehicle 4WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,K15 Jimmy 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,below average,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,K15 Jimmy 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium,average,below average,Normal,Eight,Six,4-Wheel or All-Wheel Drive,Standard,Diesel,Diesel,Economic,GMC,K15 Jimmy 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,unhealthy,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,GMC,K15 Suburban 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
medium-high,poor,hazardous,Poor,Eight,Five,4-Wheel or All-Wheel Drive,Expensive,Regular,Regular Gasoline,Average,GMC,K15 Suburban 4WD,N,Manual 4-spd,Guzzler,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Conquest,N,Automatic 4-spd,Average,Economic,Subcompact Cars,1985
medium-high,average,below average,Normal,Eight,Six,4-Wheel or All-Wheel Drive,Standard,Diesel,Diesel,Economic,GMC,K15 Suburban 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,T15 (S15) Jimmy 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,T15 (S15) Jimmy 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Four,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,T15 (S15) Jimmy 4WD,N,Manual 5-spd,Average,Green,Special Purpose Vehicle 4WD,1985
low-medium,average,average,Normal,Six,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,T15 (S15) Jimmy 4WD,N,Automatic 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
low-medium,average,below average,Normal,Six,Two,4-Wheel or All-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,T15 (S15) Jimmy 4WD,N,Manual 4-spd,Average,Economic,Special Purpose Vehicle 4WD,1985
