barrels08,city08,co2TailpipeGpm,comb08,cylinders,displ,drive,fuelCost08,fuelType,fuelType1,highway08,make,model,mpgData,trany,UCity,UHighway,VClass,year
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Acura,NSX,N,Automatic 4-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Acura,NSX,N,Manual 6-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,M Coupe,Y,Manual 5-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,Z3 Coupe,N,Automatic 4-spd,Average,Green,Two Seaters,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,Z3 Coupe,N,Manual 5-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,Z3 Roadster,N,Automatic 4-spd,Average,Green,Two Seaters,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,Z3 Roadster,Y,Manual 5-spd,Average,Green,Two Seaters,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,Z3 Roadster,Y,Automatic 4-spd,Average,Green,Two Seaters,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,Z3 Roadster,N,Manual 5-spd,Average,Economic,Two Seaters,2000
low-medium,poor,below average,Poor,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,Z8,N,Manual 6-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Chevrolet,Corvette,Y,Automatic 4-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Chevrolet,Corvette,Y,Manual 6-spd,Average,Green,Two Seaters,2000
medium-high,poor,below average,Poor,Ten,Eight,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Viper Convertible,N,Manual 6-spd,Average,Economic,Two Seaters,2000
medium-high,poor,below average,Poor,Ten,Eight,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Dodge,Viper Coupe,N,Manual 6-spd,Average,Economic,Two Seaters,2000
medium-high,poor,hazardous,Poor,Eight,Three,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Ferrari,360 Modena/Spider,N,Manual 6-spd,Guzzler,Economic,Two Seaters,2000
medium-high,poor,hazardous,Poor,Eight,Three,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Ferrari,360 Modena/Spider,N,Automatic 6-spd,Guzzler,Economic,Two Seaters,2000
high,poor,hazardous,Poor,Twelve,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Ferrari,550 Maranello,N,Manual 6-spd,Guzzler,Average,Two Seaters,2000
low,excellent,green,Excellent,Three,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Honda,Insight,Y,Manual 5-spd,Green,Green,Two Seaters,2000
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Honda,S2000,Y,Manual 6-spd,Average,Economic,Two Seaters,2000
low-medium,average,below average,Normal,Eight,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Lotus,Esprit.v8,N,Manual 5-spd,Average,Economic,Two Seaters,2000
low-medium,average,healthy,Normal,Four,One,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,MX-5 Miata,Y,Automatic 4-spd,Economic,Green,Two Seaters,2000
low-medium,average,healthy,Normal,Four,One,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,MX-5 Miata,Y,Manual 5-spd,Economic,Green,Two Seaters,2000
low-medium,average,healthy,Normal,Four,One,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,MX-5 Miata,Y,Manual 6-spd,Economic,Green,Two Seaters,2000
low-medium,average,below average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,SL500,Y,Automatic 5-spd,Average,Economic,Two Seaters,2000
medium-high,poor,below average,Poor,Twelve,Six,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,SL600,N,Automatic 5-spd,Average,Economic,Two Seaters,2000
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,SLK230 Kompressor,N,Automatic 5-spd,Economic,Green,Two Seaters,2000
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,SLK230 Kompressor,N,Manual 5-spd,Average,Green,Two Seaters,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Plymouth,Prowler,Y,Automatic 4-spd,Average,Economic,Two Seaters,2000
