barrels08,city08,co2TailpipeGpm,comb08,cylinders,displ,drive,fuelCost08,fuelType,fuelType1,highway08,make,model,mpgData,trany,UCity,UHighway,VClass,year
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,Boxster,N,Automatic 5-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,Boxster,Y,Manual 5-spd,Average,Green,Two Seaters,2000
low-medium,average,below average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,Boxster S,N,Automatic 5-spd,Average,Economic,Two Seaters,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,Boxster S,N,Manual 6-spd,Average,Economic,Two Seaters,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,MR2,Y,Manual 5-spd,Economic,Green,Two Seaters,2000
medium-high,poor,unhealthy,Poor,Twelve,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Economic,Aston Martin,DB-7 Vantage Coupe,N,Automatic 5-spd,Guzzler,Economic,Compact Cars,2000
medium-high,poor,unhealthy,Poor,Twelve,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Economic,Aston Martin,DB-7 Vantage Coupe,N,Manual 6-spd,Guzzler,Economic,Compact Cars,2000
medium-high,poor,unhealthy,Poor,Twelve,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Economic,Aston Martin,DB-7 Vantage Volante,N,Automatic 5-spd,Guzzler,Economic,Compact Cars,2000
medium-high,poor,unhealthy,Poor,Twelve,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Economic,Aston Martin,DB-7 Vantage Volante,N,Manual 6-spd,Guzzler,Economic,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Audi,TT Coupe,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,average,Normal,Four,One,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Audi,TT Coupe quattro,Y,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,323i Convertible,Y,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,323i Convertible,Y,Manual 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,M Roadster,Y,Manual 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Jaguar,XK8 Convertible,N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,below average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Jaguar,XKR Convertible,N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,CLK320 (Cabriolet),N,Automatic 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,CLK430 (Cabriolet),N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,911 Carrera,N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,below average,Normal,Six,Three,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,911 Carrera,N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,911 Carrera,Y,Manual 6-spd,Average,Economic,Compact Cars,2000
low-medium,average,below average,Normal,Six,Three,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Porsche,911 Carrera,N,Manual 6-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Qvale,Detomaso Mangusta,N,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Acura,Integra,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Acura,Integra,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Acura,Integra,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
medium-high,poor,unhealthy,Poor,Eight,Six,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Bentley,Azure,N,Automatic 4-spd,Guzzler,Economic,Compact Cars,2000
medium-high,poor,unhealthy,Poor,Eight,Six,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Bentley,Continental SC,N,Automatic 4-spd,Guzzler,Economic,Compact Cars,2000
medium-high,poor,unhealthy,Poor,Eight,Six,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Bentley,Continental T,N,Automatic 4-spd,Guzzler,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,323ci,Y,Automatic 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,323ci,Y,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,328ci,N,Automatic 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,328ci,Y,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Camaro,Y,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Camaro,N,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Chevrolet,Camaro,Y,Automatic 4-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Chevrolet,Camaro,Y,Manual 6-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Cavalier,Y,Automatic 3-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Cavalier,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Cavalier,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Cavalier,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Cavalier,N,Manual 5-spd,Economic,Green,Compact Cars,2000
low,excellent,green,Excellent,Three,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Chevrolet,Metro,Y,Manual 5-spd,Green,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Economic,Chevrolet,Metro,Y,Automatic 3-spd,Green,Green,Compact Cars,2000
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Chevrolet,Metro,N,Manual 5-spd,Green,Green,Compact Cars,2000
medium-high,poor,hazardous,Poor,Twelve,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Ferrari,456 MGT/MGA,N,Automatic 4-spd,Guzzler,Economic,Compact Cars,2000
medium-high,poor,hazardous,Poor,Twelve,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Ferrari,456 MGT/MGA,N,Manual 6-spd,Guzzler,Economic,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Escort ZX2,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Escort ZX2,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Mustang,Y,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Mustang,Y,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Mustang,Y,Automatic 4-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Mustang,Y,Manual 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Ford,Mustang,N,Manual 5-spd,Average,Economic,Compact Cars,2000
medium-high,poor,below average,Poor,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Ford,Mustang,N,Manual 6-spd,Average,Economic,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Honda,Civic,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Honda,Civic,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Honda,Civic,Y,Manual 5-spd,Green,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Economic,Honda,Civic,Y,Manual 5-spd,Green,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Honda,Civic,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Honda,Civic HX,Y,Automatic (variable gear ratios),Green,Green,Compact Cars,2000
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Honda,Civic HX,Y,Manual 5-spd,Green,Green,Compact Cars,2000
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Honda,Prelude,N,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Honda,Prelude,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Hyundai,Tiburon,Y,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Hyundai,Tiburon,N,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Jaguar,XK8,N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,below average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Jaguar,XKR,N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Lexus,SC,N,Automatic 4-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Lexus,SC,N,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,CLK320,N,Automatic 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,CLK430,Y,Automatic 5-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mitsubishi,Eclipse,Y,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mitsubishi,Eclipse,N,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mitsubishi,Eclipse,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mitsubishi,Eclipse,Y,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mitsubishi,Eclipse,Y,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Economic,Mitsubishi,Mirage,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Mitsubishi,Mirage,N,Manual 5-spd,Green,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mitsubishi,Mirage,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Green,Mitsubishi,Mirage,N,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Firebird/Trans Am,Y,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Firebird/Trans Am,N,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Pontiac,Firebird/Trans Am,Y,Automatic 4-spd,Average,Economic,Compact Cars,2000
low-medium,average,average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Pontiac,Firebird/Trans Am,N,Manual 6-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Sunfire,N,Automatic 3-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Sunfire,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Sunfire,N,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Sunfire,N,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Sunfire,N,Manual 5-spd,Economic,Green,Compact Cars,2000
medium-high,poor,unhealthy,Poor,Eight,Six,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Rolls-Royce,Corniche,N,Automatic 4-spd,Guzzler,Economic,Compact Cars,2000
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Saab,9-3 Convertible,N,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saab,9-3 Convertible,N,Automatic 4-spd,Average,Economic,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saab,9-3 Convertible,N,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Saab,9-3 Convertible,N,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Saab,9-3 Viggen Convertible,N,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Green,Saturn,SC,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saturn,SC,N,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Saturn,SC,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Green,Saturn,SC,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Subaru,Impreza AWD,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,average,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Subaru,Impreza AWD,Y,Manual 5-spd,Average,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Suzuki,Esteem,N,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Suzuki,Esteem,N,Manual 5-spd,Green,Green,Compact Cars,2000
low-medium,average,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Suzuki,Esteem,N,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Suzuki,Esteem,N,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Economic,Suzuki,Swift,N,Automatic 3-spd,Green,Green,Compact Cars,2000
low,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Suzuki,Swift,Y,Manual 5-spd,Green,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Camry Solara Convertible,N,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Camry Solara Convertible,N,Automatic 4-spd,Average,Green,Compact Cars,2000
low-medium,average,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Celica,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Toyota,Celica,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Celica,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Toyota,Celica,Y,Manual 6-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Volkswagen,Cabrio,N,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Volkswagen,Cabrio,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,New Beetle,Y,Automatic 4-spd,Economic,Green,Compact Cars,2000
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,New Beetle,Y,Manual 5-spd,Economic,Green,Compact Cars,2000
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Diesel,Diesel,Green,Volkswagen,New Beetle,Y,Automatic 4-spd,Green,Green,Compact Cars,2000
