-1,1218
500,7
550,2
600,11
650,2
700,6
750,2
800,4
850,4
950,11
1000,10
1050,33
1100,8
1150,22
1200,61
1250,58
1300,9
1350,35
1400,27
1450,76
1500,120
1550,124
1600,140
1650,249
1700,377
1750,463
1800,80
1850,474
1900,861
1950,1059
2000,66
2050,1170
2100,89
2150,1353
2200,133
2250,1507
2300,254
2350,2302
2400,30
2450,1839
2500,523
2600,2663
2650,17
2700,11
2750,3104
2850,1072
2900,1761
3050,1188
3100,1645
3200,441
3250,80
3300,1800
3400,661
3500,7
3550,1562
3650,455
3800,921
3850,18
3900,350
4100,505
4200,300
4500,317
4550,213
4950,214
5450,51
5500,41
6050,6
6150,31
6850,2
7800,5
