0,1249
12,14
13,21
14,58
15,64
16,123
17,210
18,260
19,427
20,430
21,784
22,975
23,1437
24,1441
25,1047
26,1187
27,1210
28,1390
29,1133
30,1643
31,1545
32,1776
33,1945
34,1440
35,1599
36,1413
37,1585
38,1027
39,1039
40,860
41,813
42,668
43,535
44,457
45,333
46,364
47,235
48,261
49,191
50,164
51,156
52,65
53,57
54,66
55,70
56,95
57,50
58,35
59,55
60,23
61,5
62,31
63,25
64,46
65,12
66,10
67,10
68,8
69,10
70,2
71,9
72,2
73,2
74,9
76,4
82,2
84,3
87,3
88,2
89,1
91,3
93,1
97,2
99,2
105,3
112,2
113,2
120,1
121,1
129,1
131,2
133,5
134,1
137,1
140,1
141,4
146,1
149,3
154,2
156,1
